id,folder,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
avlstm,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Amplitude of the S-T wave at the midpoint,,numeric,millimeters,,,,,
avlta,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Minimum amplitude of the T-wave,,numeric,millimeters,,,,,
avltpa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Maximum amplitude of the T-wave,,numeric,millimeters,,,,,
earlyrep,Clinical Data/Diagnostic Studies/Electrocardiogram,Early Repolarization,,choices,,earlyrepo,,,,
ecgcomm1,Clinical Data/Diagnostic Studies/Electrocardiogram,Comments 1,,text,,,,,,
ecgcomm2,Clinical Data/Diagnostic Studies/Electrocardiogram,Comments 2,,text,,,,,,
ecgcomm3,Clinical Data/Diagnostic Studies/Electrocardiogram,Comments 3,,text,,,,,,
ecgcomm4,Clinical Data/Diagnostic Studies/Electrocardiogram,Comments 4,,text,,,,,,
ectopy,Clinical Data/Diagnostic Studies/Electrocardiogram,Ectopy,,choices,,ectopy,,,,
hupertr,Clinical Data/Diagnostic Studies/Electrocardiogram,Hypertrophy,,choices,,hypertrophy,,,,
iiipa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Minimum amplitude of the P-wave,,numeric,millimeters,,,,,
iiippa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Maximum amplitude of the P-wave,,numeric,millimeters,,,,,
iiiqa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Absolute amplitude of the Q-wave,,numeric,millimeters,,,,,
iiiqd,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Duration of the Q-wave,,numeric,milliseconds,,,,,
iiira,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Absolute amplitude of the R-wave,,numeric,millimeters,,,,,
iiird,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Duration of the R-wave,,numeric,milliseconds,,,,,
iiirpa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Amplitude of the secondary R-wave,,numeric,millimeters,,,,,
iiirpd,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Duration of the secondary R-wave,,numeric,milliseconds,,,,,
iiisa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Absolute amplitude of the S-wave,,numeric,millimeters,,,,,
iiisd,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Duration of the S-wave,,numeric,millimeters,,,,,
iiispa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Amplitude of the secondary S-wave,,numeric,millimeters,,,,,
iiiste,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Amplitude of the S-T wave at the endpoint,,numeric,millimeters,,,,,
iiistj,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Amplitude of the S-T wave at the J-point,,numeric,millimeters,,,,,
iiistm,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Amplitude of the S-T wave at the midpoint,,numeric,millimeters,,,,,
iiita,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Minimum amplitude of the T-wave,,numeric,millimeters,,,,,
iiitpa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead III: Maximum amplitude of the T-wave,,numeric,millimeters,,,,,
iipa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Minimum amplitude of the P-wave,,numeric,millimeters,,,,,
iippa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Maximum amplitude of the P-wave,,numeric,millimeters,,,,,
iiqa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Absolute amplitude of the Q-wave,,numeric,millimeters,,,,,
iiqd,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Duration of the Q-wave,,numeric,milliseconds,,,,,
iira,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Absolute amplitude of the R-wave,,numeric,millimeters,,,,,
iird,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Duration of the R-wave,,numeric,milliseconds,,,,,
iirpa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Amplitude of the secondary R-wave,,numeric,millimeters,,,,,
iirpd,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Duration of the secondary R-wave,,numeric,milliseconds,,,,,
iisa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Absolute amplitude of the S-wave,,numeric,millimeters,,,,,
iisd,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Duration of the S-wave,,numeric,milliseconds,,,,,
iispa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Amplitude of the secondary S-wave,,numeric,millimeters,,,,,
iiste,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Amplitude of the S-T wave at the endpoint,,numeric,millimeters,,,,,
iistj,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Amplitude of the S-T wave at the J-point,,numeric,millimeters,,,,,
iistm,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Amplitude of the S-T wave at the midpoint,,numeric,millimeters,,,,,
iita,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Minimum amplitude of the T-wave,,numeric,millimeters,,,,,
iitpa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead II: Maximum amplitude of the T-wave,,numeric,millimeters,,,,,
infarct,Clinical Data/Diagnostic Studies/Electrocardiogram,Infarct,,choices,,infarct,,,,
ipa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Minimum amplitude of the P-wave,,numeric,millimeters,,,,,
ippa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Maximum amplitude of the P-wave,,numeric,millimeters,,,,,
iqa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Absolute amplitude of the Q-wave,,numeric,millimeters,,,,,
iqd,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Duration of the Q-wave,,numeric,milliseconds,,,,,
ira,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Absolute amplitude of the R-wave,,numeric,millimeters,,,,,
ird,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Duration of the R-wave,,numeric,milliseconds,,,,,
irpa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Amplitude of the secondary R-wave,,numeric,millimeters,,,,,
irpd,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Duration of the secondary R-wave,,numeric,milliseconds,,,,,
isa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Absolute amplitude of the S-wave,,numeric,millimeters,,,,,
ischemia,Clinical Data/Diagnostic Studies/Electrocardiogram,Ischemia pattern,,choices,,ischemiapatterns,,,,
isd,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Duration of the S-wave,,numeric,milliseconds,,,,,
ispa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Amplitude of the secondary S-wave,,numeric,millimeters,,,,,
iste,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Amplitude of the S-T wave at the endpoint,,numeric,millimeters,,,,,
istj,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Amplitude of the S-T wave at the J-point,,numeric,millimeters,,,,,
istm,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Amplitude of the S-T wave at the midpoint,,numeric,millimeters,,,,,
ita,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Minimum amplitude of the T-wave,,numeric,millimeters,,,,,
itpa,Clinical Data/Diagnostic Studies/Electrocardiogram,Lead I: Maximum amplitude of the T-wave,,numeric,millimeters,,,,,
oldinfar,Clinical Data/Diagnostic Studies/Electrocardiogram,Old infarct,,choices,,oldinfarct,,,,
printerv,Clinical Data/Diagnostic Studies/Electrocardiogram,PR Interval,,numeric,milliseconds,,,,,
prtaxes1,Clinical Data/Diagnostic Studies/Electrocardiogram,P-R-T axis 1,,numeric,millimeters,,,,,
prtaxes2,Clinical Data/Diagnostic Studies/Electrocardiogram,P-R-T axis 2,,numeric,millimeters,,,,,
prtaxes3,Clinical Data/Diagnostic Studies/Electrocardiogram,P-R-T axis 3,,numeric,millimeters,,,,,
qrsblok,Clinical Data/Diagnostic Studies/Electrocardiogram,QRS Conduction Block,,choices,,qrsblock,,,,
qrsduran,Clinical Data/Diagnostic Studies/Electrocardiogram,QRS Duration,,numeric,milliseconds,,,,,
qt,Clinical Data/Diagnostic Studies/Electrocardiogram,Q-T interval,,numeric,milliseconds,,,,,
qtc,Clinical Data/Diagnostic Studies/Electrocardiogram,Q-Tc Interval,,numeric,milliseconds,,,,,
rhythm,Clinical Data/Diagnostic Studies/Electrocardiogram,Rhythm,,choices,,rhythm,,,,
stsegabn,Clinical Data/Diagnostic Studies/Electrocardiogram,ST Segment Abnormality,,choices,,stsegabn,,,,
sugische,Clinical Data/Diagnostic Studies/Electrocardiogram,Suggesting Ischemia,,choices,,ischemia,,,,
v1pa,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Minimum amplitude of the P-wave,,numeric,millimeters,,,,,
v1ppa,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Maximum amplitude of the P-wave,,numeric,millimeters,,,,,
v1qa,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Absolute amplitude of the Q-wave,,numeric,millimeters,,,,,
v1qd,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Duration of the Q-wave,,numeric,milliseconds,,,,,
v1ra,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Absolute amplitude of the R-wave,,numeric,millimeters,,,,,
v1rd,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Duration of the R-wave,,numeric,milliseconds,,,,,
v1rpa,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Amplitude of the secondary R-wave,,numeric,millimeters,,,,,
v1rpd,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Duration of the secondary R-wave,,numeric,milliseconds,,,,,
v1sa,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Absolute amplitude of the S-wave,,numeric,millimeters,,,,,
v1sd,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Duration of the S-wave,,numeric,milliseconds,,,,,
v1spa,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Amplitude of the secondary S-wave,,numeric,millimeters,,,,,
v1ste,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Amplitude of the S-T wave at the endpoint,,numeric,millimeters,,,,,
v1stj,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Amplitude of the S-T wave at the J-point,,numeric,millimeters,,,,,
v1stm,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Amplitude of the S-T wave at the midpoint,,numeric,millimeters,,,,,
v1ta,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Minimum amplitude of the T-wave,,numeric,millimeters,,,,,
v1tpa,Clinical Data/Diagnostic Studies/Electrocardiogram,V1: Maximum amplitude of the T-wave,,numeric,millimeters,,,,,
v2pa,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Minimum amplitude of the P-wave,,numeric,millimeters,,,,,
v2ppa,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Maximum amplitude of the P-wave,,numeric,millimeters,,,,,
v2qa,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Absolute amplitude of the Q-wave,,numeric,millimeters,,,,,
v2qd,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Duration of the Q-wave,,numeric,milliseconds,,,,,
v2ra,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Absolute amplitude of the R-wave,,numeric,millimeters,,,,,
v2rd,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Duration of the R-wave,,numeric,milliseconds,,,,,
v2rpa,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Amplitude of the secondary R-wave,,numeric,millimeters,,,,,
v2rpd,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Duration of the secondary R-wave,,numeric,milliseconds,,,,,
v2sa,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Absolute amplitude of the S-wave,,numeric,millimeters,,,,,
v2sd,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Duration of the S-wave,,numeric,milliseconds,,,,,
v2spa,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Amplitude of the secondary S-wave,,numeric,millimeters,,,,,
v2ste,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Amplitude of the S-T wave at the endpoint,,numeric,millimeters,,,,,
v2stj,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Amplitude of the S-T wave at the J-point,,numeric,millimeters,,,,,
v2stm,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Amplitude of the S-T wave at the midpoint,,numeric,millimeters,,,,,
v2ta,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Minimum amplitude of the T-wave,,numeric,millimeters,,,,,
v2tpa,Clinical Data/Diagnostic Studies/Electrocardiogram,V2: Maximum amplitude of the T-wave,,numeric,millimeters,,,,,
v3pa,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Minimum amplitude of the P-wave,,numeric,millimeters,,,,,
v3ppa,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Maximum amplitude of the P-wave,,numeric,millimeters,,,,,
v3qa,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Absolute amplitude of the Q-wave,,numeric,millimeters,,,,,
v3qd,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Duration of the Q-wave,,numeric,milliseconds,,,,,
v3ra,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Absolute amplitude of the R-wave,,numeric,millimeters,,,,,
v3rd,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Duration of the R-wave,,numeric,milliseconds,,,,,
v3rpa,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Amplitude of the secondary R-wave,,numeric,millimeters,,,,,
v3rpd,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Duration of the secondary R-wave,,numeric,milliseconds,,,,,
v3sa,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Absolute amplitude of the S-wave,,numeric,millimeters,,,,,
v3sd,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Duration of the S-wave,,numeric,milliseconds,,,,,
v3spa,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Amplitude of the secondary S-wave,,numeric,millimeters,,,,,
v3ste,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Amplitude of the S-T wave at the endpoint,,numeric,millimeters,,,,,
v3stj,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Amplitude of the S-T wave at the J-point,,numeric,millimeters,,,,,
v3stm,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Amplitude of the S-T wave at the midpoint,,numeric,millimeters,,,,,
v3ta,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Minimum amplitude of the T-wave,,numeric,millimeters,,,,,
v3tpa,Clinical Data/Diagnostic Studies/Electrocardiogram,V3: Maximum amplitude of the T-wave,,numeric,millimeters,,,,,
v4pa,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Minimum amplitude of the P-wave,,numeric,millimeters,,,,,
v4ppa,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Maximum amplitude of the P-wave,,numeric,millimeters,,,,,
v4qa,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Absolute amplitude of the Q-wave,,numeric,millimeters,,,,,
v4qd,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Duration of the Q-wave,,numeric,milliseconds,,,,,
v4ra,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Absolute amplitude of the R-wave,,numeric,millimeters,,,,,
v4rd,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Duration of the R-wave,,numeric,milliseconds,,,,,
v4rpa,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Amplitude of the secondary R-wave,,numeric,millimeters,,,,,
v4rpd,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Duration of the secondary R-wave,,numeric,milliseconds,,,,,
v4sa,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Absolute amplitude of the S-wave,,numeric,millimeters,,,,,
v4sd,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Duration of the S-wave,,numeric,milliseconds,,,,,
v4spa,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Amplitude of the secondary S-wave,,numeric,millimeters,,,,,
v4ste,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Amplitude of the S-T wave at the endpoint,,numeric,millimeters,,,,,
v4stj,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Amplitude of the S-T wave at the J-point,,numeric,millimeters,,,,,
v4stm,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Amplitude of the S-T wave at the midpoint,,numeric,millimeters,,,,,
v4ta,Clinical Data/Diagnostic Studies/Electrocardiogram,V4: Minimum amplitude of the T-wave,,numeric,millimeters,,,,,
